id,description
1,"Navarro pitched his 32nd career complete game 6-4-$8, allowing eight hits in a 7-1 win over the Royals. ‘y ( a WIG LY Vig"
10,"In his third season with the Angels, Dickson struggled at times but proved he is a valuable | 4 ="
100,"Edmonds finished his fifth full season as an Angel with career-highs in games played, aver- | a A ,"
102,Girardis veteran leadership behind the plate proved quite valuable for the Yankees in “96. yO oe |
103,"Spiezia improved his batting average 16 points in “98, coming in at a .259 clip. He hit nine home a _ {"
104,The productive Phillips gives the Oakland lineup a spark at the top. He has good speed and A’) Se ue ora: |
105,Nagy anchored the Cleveland pitching staff as its top winner and leader in innings pitched = fy ase Ps
106,"White batted .300 with 16 stolen bases, 17 long balls and 58 ABI. He had a 14-game hitting ~~ Pee Se"
107,
108,Martinez posted his fourth-straight season with at least 25 homers and 110 ABI. He became only — ae a I
109,2 Se = - 2 oe 2 Se Zi ae ee ae
11,"A mainstay of the starting rotation that carried San Diego to NL West flags in “96 and ‘98, i Vo a"
110,"Quietly developing-into a top-notch pitcher in a young and improving Tampa Bay staff, Yan — : a 7"
111,
112,"After signing with the Cardinals in January of “89, Bragg will start his first National League sea- a Clee"
113,"Over the course of his final 31 appearances of the ‘98 season, Slocum compiled a 2.05 = | > a: a"
114,"While Ben Grieve was the rookie outfielder getting all the attention in ‘38, the Athletics had =| es |"
115,"Javier stole more than 20 bases for the fifth time in his career, and fourth time in the last five | as ae"
116,"Seattle’s top starter in “98, Moyer finished third in the American League in innings pitched aa oe a ae <="
117,"Gwynn topped the 300 barrier for the 16th straight season, leading the Padres with a.321 mark. rs os ADRES. ee, |"
118,"The Astros’ Bell enjoyed a banner year in ‘98, setting personal-bests in hits, runs scored, — | gall » e . ,"
119,Leiter ranked third in the National League in ERA during a stellar ‘98 season. He also was sev- | as =
12,Brian Jordan joins the Atlanta Braves after posting a career year in 1998 with the St. Louis ——_s = | 2 |
120,Kaskie spent most of 1998 season at class-AA A Salt Lake where he was named the Twins’ .
121,
122,"Bouncing back strong to enjy his finest season since ‘93, Harnisch held National League oppo- =| 2B Be"
123,Braden Looper looks to have made the transition from starter to reliever with relative ease. oe > 3
124,"Tying for the Tigers’ team-lead in games played in ‘S8, Higginson made the most of the opportu- | sg i. Cee |"
126,"Jordan can play first, second or third base, and has done so with Philadelphia during the past in, ."
128,A 1997 AL Rookie of the Year candidate after leading all American League rookies in walks =| Fog Ps =e :
129,Reggie Sanders makes the move out West to the defending National League Champion San Diego ~ <a at J
13,"Morandini had one of his most productive seasons in his first year with the Cubs, setting career Se ee ‘ yy 2 ; ie"
130,"The AL Comeback Player of the Year in ‘96, Davis returns tothe NL in99 on the heels of @ | \\ SJ"
131,Run support was not Hawkins’ biggest ally last season. Minnesota averaged 4.61 runs per game ; = = — < a
133,Buhner carries a big bat in the Seattle lineup — which is saying something. An instant | SS ga |
134,"Washburn enjoyed a successful rookie season in ‘98, winning twice as many decisions as oS aly, 2a"
135,"Widger gives the Expos a steady catcher who is solid defensively and will produce at the plate ee i, a ® :"
136,"Considered one of the finest receivers in the National League, Manwaring started 95 games for i _— a: ee"
137,Bobby Bonilla joins the influx of veteran leadership on the New York Mets as the club looks to | ed
139,"A dependable defensive catcher who provides occasional power at the plate, Lampkin should = er"
14,"Quietly continuing to rank among baseball's top power hitters, Castilla notched the third- | \ ie"
140,"Hentgen posted his sixth consecutive winning season in “98, as he registered a 12-11 mark.The = | A 28) >"
141,"Mercker led the St. Louis staff in wins, starts and innings pitehed in “98. : : Ce"
142,Andrews reached a new career high when he blasted 25 long balls last season. His 69 runs driv- fT
143,"Sweeney smacked eight homers last season, one-upping fis 97 cutout with the Royals. He also =| [aire ee"
144,Grissom delivered game-winning extra-inning RBI singles for the Brewers 4-16-98 and 4-19-96. CG 2
145,"Suppan split the ‘98 season between Arizona, Class-AAA Tucson and Kansas City. Suppan made fi q Nee"
146,
147,
148,"~ Having risen to superstar status during his tenure with the Orioles, Palmeiro returns to |) Sh a é"
149,
15,Vaughn established @ Padres club record by smashing 50 home runs in 1998. ii
150,"Quickly establishing himself as one of the premier centerfielders in the game, Andruw =| A a A"
151,"Aybar has great stuff and good potential, some of the larger reasons that the Cardinals are so |) | fa ae A"
153,"Atlanta ace Maddux posted his 11th consecutive season with at least 15 wins in ‘98, strike =f —-  / _ |"
154,"Grudzielanek produces solid numbers for a shortstop, showing a little bit of power and good eS he pane By Be"
155,"lrabu enjoyed a solid second season in Major League Baseball with the Yankees, posting a 13-9 | )"
157,"Providing the Rangers with speed at the top of the lineup, Goodwin paced the club in stolen bbz ee oe a"
158,"Acquired by the Giants in July, Mesa provided some key relief innings down the stretch. 2 ( ler j"
159,"Everything fell into place for Sele during his first year with the Rangers in’S8 ashe racked =f iL , 2s"
16,Brett Boone produced one of the finest years ever by a Cincinnati second baseman by leading & 4 aS ae oi
160,The highly-regarded Nunez is an up-and-coming shortstop who has tremendous defensive | SS ee ee
161,
163,"+ Wr , a a £4 sirtaer:"
164,"Devon White just doesn’t seem to slow down. The seven-time Gold Glove Award winner wasthe = |) 77"")"
167,Cordova is a good outfielder for Minnesota who produces solid numbers when he's in the line- ay <= |
168,"Aybar has great stuff and good potential, some of the larger reasons that the Cardinals are su fe ae"
169,"Clark continued his steady hitting through “98, being a vital cog on a Rangers team that Sy SO sa Oa :"
17,"Surhoff put together another fine year for the Orioles in 1998, setting career highs for |] ie Gq \ sf oy"
