id,W,L,ERA,G,GS,SV,IP,H,BB,K,team,year,name,position,HT,WT,Bats,Throws,DOB,Birth_location
1,7,8,312,19,17,0,109.2,119,32,56,brewers,89,jaime navarro,pitcher,Ht: 6'4°, 230, R, R,3/27/68,"Bayamon, P "
1,8,7,446,32,22,1,149.1,176,41,75,brewers,99,jaime navarro,pitcher,Ht: 6'4°, 230, R, R,3/27/68,"Bayamon, P "
1,15,12,392,34,34,0,234.0,237,73,114,brewers,91,jaime navarro,pitcher,Ht: 6'4°, 230, R, R,3/27/68,"Bayamon, P "
1,17,11,3.33,34,34,0,246.0,224,64,100,brewers,92,jaime navarro,pitcher,Ht: 6'4°, 230, R, R,3/27/68,"Bayamon, P "
1,11,12,5.33,35,34,0,2141,254,73,114,brewers,93,jaime navarro,pitcher,Ht: 6'4°, 230, R, R,3/27/68,"Bayamon, P "
1,4,9,6.62,29,10,0,892,115,35,65,brewers,94,jaime navarro,pitcher,Ht: 6'4°, 230, R, R,3/27/68,"Bayamon, P "
1,144,6,328,29,29,0,2001,194,56,128,cubs,95,jaime navarro,pitcher,Ht: 6'4°, 230, R, R,3/27/68,"Bayamon, P "
1,15,12,3.92,35,35,0,236.2,244,72,158,cubs,96,jaime navarro,pitcher,Ht: 6'4°, 230, R, R,3/27/68,"Bayamon, P "
1,9,14,579,33,33,0,2092,267,73,142,white sox,97,jaime navarro,pitcher,Ht: 6'4°, 230, R, R,3/27/68,"Bayamon, P "
1,8,16,636,37,27,1,1722,223,77,71,white sox,98,jaime navarro,pitcher,Ht: 6'4°, 230, R, R,3/27/68,"Bayamon, P "
10,1,4,657,7,0,1,82,8,2,NA,angels,96,jason dickson,pitcher,"Ht: 6'0""", 202Ibs , L, R,3/30/73,"London, ON"
10,1,4,657,7,0,1,82,8,2,NA,rangers,96,jason dickson,pitcher,"Ht: 6'0""", 202Ibs , L, R,3/30/73,"London, ON"
10,13,9,4.29,33,32,0,2032,236,56,115,angels,97,jason dickson,pitcher,"Ht: 6'0""", 202Ibs , L, R,3/30/73,"London, ON"
10,13,9,4.29,33,32,0,2032,236,56,115,rangers,97,jason dickson,pitcher,"Ht: 6'0""", 202Ibs , L, R,3/30/73,"London, ON"
10,10,10,6.05,27,18,0,1220,147,41,61,angels,98,jason dickson,pitcher,"Ht: 6'0""", 202Ibs , L, R,3/30/73,"London, ON"
10,10,10,6.05,27,18,0,1220,147,41,61,rangers,98,jason dickson,pitcher,"Ht: 6'0""", 202Ibs , L, R,3/30/73,"London, ON"
11,9,6,298,16,16,0,1082,98,29,61,padres,94,joey hamilton,pitcher,NA,NA,NA,NA,NA,NA
11,6,9,308,31,30,0,2041,189,56,123.,padres,95,joey hamilton,pitcher,NA,NA,NA,NA,NA,NA
11,15,9,447,34,33,00,2112,206,83,184,padres,96,joey hamilton,pitcher,NA,NA,NA,NA,NA,NA
11,12,7,425,31,29,0,1922,199,69,124,padres,97,joey hamilton,pitcher,NA,NA,NA,NA,NA,NA
11,13,13,4.27,34,34,0,27.1,220,106,147,padres,98,joey hamilton,pitcher,NA,NA,NA,NA,NA,NA
20,7,8,3.12,19,17,0,1092,119,32,56,brewers,89,jaime navarro,pitcher,"Ht: 6'4""", 250 Ibs , R, R,3/27/68,"Bayamon, PR "
20,8,7,446,32,22,1,149.1,176,41,75,brewers,90,jaime navarro,pitcher,"Ht: 6'4""", 250 Ibs , R, R,3/27/68,"Bayamon, PR "
20,15,12,3.92,34,34,0,2340,237,73,114,brewers,91,jaime navarro,pitcher,"Ht: 6'4""", 250 Ibs , R, R,3/27/68,"Bayamon, PR "
20,17,11,3.33,34,34,0,246.0,224,64,100,brewers,92,jaime navarro,pitcher,"Ht: 6'4""", 250 Ibs , R, R,3/27/68,"Bayamon, PR "
20,11,12,533,35,34,0,2141,254,73,114,brewers,93,jaime navarro,pitcher,"Ht: 6'4""", 250 Ibs , R, R,3/27/68,"Bayamon, PR "
20,4,9,662,29,10,0,892,115,35,6,brewers,94,jaime navarro,pitcher,"Ht: 6'4""", 250 Ibs , R, R,3/27/68,"Bayamon, PR "
20,14,6,328,29,29,0,2001,194,56,128,cubs,95,jaime navarro,pitcher,"Ht: 6'4""", 250 Ibs , R, R,3/27/68,"Bayamon, PR "
20,15,12,392,35,35,0,236.2,244,72,168,cubs,96,jaime navarro,pitcher,"Ht: 6'4""", 250 Ibs , R, R,3/27/68,"Bayamon, PR "
20,9,14,579,33,33,0,2092,267,73,142,white sox,97,jaime navarro,pitcher,"Ht: 6'4""", 250 Ibs , R, R,3/27/68,"Bayamon, PR "
20,8,16,6.36,37,27,1172.2,223,77,0,5,white sox,98,jaime navarro,pitcher,"Ht: 6'4""", 250 Ibs , R, R,3/27/68,"Bayamon, PR "
21,1,5,5.37,18,8,0,57.0,59,27,30,rockies,93,curt leskanic,pitcher,"Ht: 6'0""", 186 Ibs , R, A,4/2/68,"Homestead, PA"
