id,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,team,year,name,position,HT,WT,Bats,Throws,DOB,Birth_location
2,000,5,4,0,0,0,0,0,0,0,angels,86,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.236,138,433,61,102,13,3,3,41,2,angels,87,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.236,138,433,61,102,13,3,3,41,2,rangers,87,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.240,77,233,38,56,11,2,2,6,13,angels,88,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.240,77,233,38,56,11,2,2,6,13,rangers,88,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,243,32,103,12,2,23,1,0,14,6,angels,89,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.148,21,61,6,9,1,0,0,2,0,astros,91,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.246,101,228,40,56,7,2,0,2,1,orioles,92,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.284,148,581,81,16,27,5,4,72,21,orioles,93,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.257,104,343,44,88,11,1,3,2,20,orioles,94,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.261,129,467,73,122,20,5,5,41,21,angels,95,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.261,129,467,73,122,20,5,5,41,21,rangers,95,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.290,147,517,84,150,23,4,5,46,27,angels,96,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.290,147,517,84,150,23,4,5,46,27,rangers,96,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.261,89,349,47,91,17,2,1,2,7,angels,97,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.261,89,349,47,91,17,2,1,2,7,rangers,97,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.247,126,461,79,114,15,1,5,53,12,angels,98,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
2,.247,126,461,79,114,15,1,5,53,12,rangers,98,mark mclemore,second base,"Ht: 5'11""", 207, B, R,10/4/64,"San Diego, Calif  Second ets"
3,.185,9,2,2,0,0,1,1,0,NA,expos,9,vladimir guerrero,outfield,"Ht: 6°2""", 200, R, R,2/9/76,"Nizao Bani, 0"
