NAME,ID,DESCRIPTION,position
Jaime Navarro,1,"Navarro pitched his 32nd career complete game 6-4-$8, allowing eight hits in a 7-1 win over the Royals. ‘y ( a WIG LY Vig",pitcher
Mark Mclemore,2,"McLemore, who had just 23 career home runs going into the ‘8 season, made alittle personal his- | eee Sb oe",position_player
Vladimir Guerrero,3,"After his excellent rookie campaign of ‘97, Guerrero continued to shine for the Expos during the ee AY",position_player
Andres Galarraga,4,"In a 5-1 win over the Reds 6-12-98, Galarraga went 2-for-5 with a solo homer to =f a",position_player
Enrique Wilson,5,NA,position_player
Miguel Tejada,6,"The shortstop position is one that has seen its share of great Dominican players, and Tejada hopes = || i Ci. |",position_player
Larry Sutton,7,"Sutton, who won two league MVP awards during his minor-league career before making | ere",position_player
Rico Brogna,8,"On 4-13-98, Brogna equaled two career highs with two homers and five ABI as the Phillies beat t » 7 |, bs ‘",position_player
Matt Williams,9,"Still one of the game's most productive performers at his position, Arizona third baseman Wiliams fought ft a. a wl ie",position_player
Jason Dickson,10,"In his third season with the Angels, Dickson struggled at times but proved he is a valuable | 4 =",pitcher
Joey Hamilton,11,"A mainstay of the starting rotation that carried San Diego to NL West flags in “96 and ‘98, i Vo a",pitcher
Brian Jordan,12,Brian Jordan joins the Atlanta Braves after posting a career year in 1998 with the St. Louis ——_s = | 2 |,position_player
Mickey Morandini,13,"Morandini had one of his most productive seasons in his first year with the Cubs, setting career Se ee ‘ yy 2 ; ie",position_player
Vinny Castilla,14,"Quietly continuing to rank among baseball's top power hitters, Castilla notched the third- | \ ie",position_player
Greg Vaughn,15,Vaughn established @ Padres club record by smashing 50 home runs in 1998. ii,position_player
Bret Boone,16,Brett Boone produced one of the finest years ever by a Cincinnati second baseman by leading & 4 aS ae oi,position_player
1,17,"Surhoff put together another fine year for the Orioles in 1998, setting career highs for |] ie Gq \ sf oy",position_player
Gary Gaetti,18,"| After spending the majority of the season with St. Louis, Gaetti signed with the Cubs on August = UBSE Bh pe",position_player
Paul Konerko,19,"A versatile player with tons of potential, Paul Konerko will get his chance to impress this | a6 Cf",position_player
Jaime Navarro,20,"Navarro recorded his 1,000th career strikeout in his 300th career game on 7/20/98. ; | J",pitcher
Curt Leskanic,21,"Leskanic, one of the few original Rockies to remain on the team going into ‘99, proved to be a ) NS ee",pitcher
Buck Martinez,22,"In “98, his 13th Major League season, Martinez became a member of the expansion Devil Rays = | Fad ii fe.",position_player
Jeff Abbott,23,1998 marked Jeff Abbott's first full season in the Major Leagues and the fourth-round pick =| | aes i,position_player
Mark Johnson,24,"Prior to being promoted to the White Sox roster on September 7 of last season, 23-year-old back- | ,",position_player
Moen Oie,25,Jose Offerman established himself as one of the premier second basemen in the game ashe set =| aa ee,position_player
Darryl Hamilton,26,Hamilton batted .336 for the Rockies after joining them late in ‘88. 4 ee,position_player
Jeff Blauser,27,"After coming off a career year in 1997, Jeff Blauser’s numbers were hampered by nagging == jy al | yo \",position_player
Carl Everett,28,The Astros saw their fortunes take @ drastic turn for the betler early last season when Everett If “ay = p a,position_player
Sidney Ponson,29,"After making his Major League debut in relief at Texas on April 19, the young Ponsonquick- | : ain",pitcher
Mike Jackson,30,"After several years as a set-up man, Jackson came into his own in his first season as afull: | ( ef",pitcher
Roger Cedeno,31,Cedeno gives the Mets a viable option in the outfield. Although he has spent most of his time in |) Sct pee,position_player
Tony Fernandez,32,"The first player ever to have three different stints with the Blue Jays, Fernandez is the franchise's all-time = |) We : e —",position_player
Sterling Hitchcock,33,"Using a devastating forkball to blassom into one of the game’s toughest southpaw hurlers in‘98, | | 5) Se",pitcher
Robin Ventura,34,Ventura joins the New York Mets in 1999 after a great 10-year career with the Chicago White Sox. || Sy |,position_player
Juan Guzman,35,Guzman joined the Orioles on July 31 and promptly won his first two starts for Baltimore. Despite | f =,pitcher
Jeff Bagwell,36,NA,position_player
Ellis Burks,37,NA,position_player
Todd Hundley,38,Hundley figures to instantly give the Dodgers offense the left-handed power stick it has been | (gs SR a,position_player
Rickey Henderson,39,"After a remarkable 20-year career, Rickey Henderson no longer needs to prove he belongs in the | is ys Vo oo ee",position_player
Jason Kendall,40,"Kendall set offensive career-highs in games, runs, hits, home runs and ABl last season. He = Vi ae a",position_player
Kevin Appier,41,The Royals expect Appier to return to form as the staff's ace in ‘9. : A ee é,pitcher
Joe Girardi,42,Girardi’s veteran leadership behind the plate proved quite valuable for the Yankees in ‘88. yo \ as e |,position_player
Tom Glavine,43,"The Senior Circuits 98 winner ofthe Cy Young Award, Glavine captured the Honor bestowed unonthe = f° a",pitcher
Karim Garcia,44,Karim Garcia spent all but one month of the 1998 season in the Major Leagues as the ae ) = FC,position_player
Craig Biggio,45,"Throughout the ‘98 season, Biggio again proved himself one of the top scorers inthe Major | ps” FR Jy",position_player
Chad Ogea,46,Oyea brings a solid arm to the Philadelphia rotation in 99. Having pitched for just Cleveland in = | ( ee,pitcher
Benito Santiago,47,NA,position_player
